,Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,sum
251,2,1,6134,23133,33586,6746,18594,5121,93317
252,1,1,6623,1860,4740,7683,205,1693,22806
253,1,1,29526,7961,16966,432,363,1391,56641
254,1,1,10379,17972,4748,4686,1547,3265,42599
255,1,1,31614,489,1495,3242,111,615,37568
256,1,1,11092,5008,5249,453,392,373,22569
257,1,1,8475,1931,1883,5004,3593,987,21875
258,1,1,56083,4563,2124,6422,730,3321,73245
259,1,1,53205,4959,7336,3012,967,818,70299
260,1,1,9193,4885,2157,327,780,548,17892
261,1,1,7858,1110,1094,6818,49,287,17218
262,1,1,23257,1372,1677,982,429,655,28374
263,1,1,2153,1115,6684,4324,2894,411,17583
264,2,1,1073,9679,15445,61,5980,1265,33506
265,1,1,5909,23527,13699,10155,830,3636,57758
266,2,1,572,9763,22182,2221,4882,2563,42186
267,1,1,20893,1222,2576,3975,737,3628,33033
268,2,1,11908,8053,19847,1069,6374,698,47952
269,1,1,15218,258,1138,2516,333,204,19669
270,1,1,4720,1032,975,5500,197,56,12482
271,1,1,2083,5007,1563,1120,147,1550,11472
272,1,1,514,8323,6869,529,93,1040,17370
273,1,3,36817,3045,1493,4802,210,1824,48195
274,1,3,894,1703,1841,744,759,1153,7098
275,1,3,680,1610,223,862,96,379,3854
276,1,3,27901,3749,6964,4479,603,2503,46203
277,1,3,9061,829,683,16919,621,139,28256
278,1,3,11693,2317,2543,5845,274,1409,24085
279,2,3,17360,6200,9694,1293,3620,1721,39893
280,1,3,3366,2884,2431,977,167,1104,10933
281,2,3,12238,7108,6235,1093,2328,2079,31086
282,1,3,49063,3965,4252,5970,1041,1404,65699
283,1,3,25767,3613,2013,10303,314,1384,43398
284,1,3,68951,4411,12609,8692,751,2406,97824
285,1,3,40254,640,3600,1042,436,18,45994
286,1,3,7149,2247,1242,1619,1226,128,13615
287,1,3,15354,2102,2828,8366,386,1027,30067
288,1,3,16260,594,1296,848,445,258,19705
289,1,3,42786,286,471,1388,32,22,44989
290,1,3,2708,2160,2642,502,965,1522,10503
291,1,3,6022,3354,3261,2507,212,686,16046
292,1,3,2838,3086,4329,3838,825,1060,15980
293,2,2,3996,11103,12469,902,5952,741,35167
294,1,2,21273,2013,6550,909,811,1854,33413
295,2,2,7588,1897,5234,417,2208,254,17602
296,1,2,19087,1304,3643,3045,710,898,28690
297,2,2,8090,3199,6986,1455,3712,531,23977
298,2,2,6758,4560,9965,934,4538,1037,27796
299,1,2,444,879,2060,264,290,259,4199
300,2,2,16448,6243,6360,824,2662,2005,34546
301,2,2,5283,13316,20399,1809,8752,172,49735
302,2,2,2886,5302,9785,364,6236,555,25132
303,2,2,2599,3688,13829,492,10069,59,30740
304,2,2,161,7460,24773,617,11783,2410,47208
305,2,2,243,12939,8852,799,3909,211,26957
306,2,2,6468,12867,21570,1840,7558,1543,51850
307,1,2,17327,2374,2842,1149,351,925,24971
308,1,2,6987,1020,3007,416,257,656,12346
309,2,2,918,20655,13567,1465,6846,806,44261
310,1,2,7034,1492,2405,12569,299,1117,24919
311,1,2,29635,2335,8280,3046,371,117,43787
312,2,2,2137,3737,19172,1274,17120,142,43586
313,1,2,9784,925,2405,4447,183,297,18044
314,1,2,10617,1795,7647,1483,857,1233,23635
315,2,2,1479,14982,11924,662,3891,3508,36450
316,1,2,7127,1375,2201,2679,83,1059,14527
317,1,2,1182,3088,6114,978,821,1637,13823
318,1,2,11800,2713,3558,2121,706,51,20952
319,2,2,9759,25071,17645,1128,12408,1625,67640
320,1,2,1774,3696,2280,514,275,834,9376
321,1,2,9155,1897,5167,2714,228,1113,20277
322,1,2,15881,713,3315,3703,1470,229,25314
323,1,2,13360,944,11593,915,1679,573,29067
324,1,2,25977,3587,2464,2369,140,1092,35632
325,1,2,32717,16784,13626,60869,1272,5609,130880
326,1,2,4414,1610,1431,3498,387,834,12177
327,1,2,542,899,1664,414,88,522,4132
328,1,2,16933,2209,3389,7849,210,1534,32127
329,1,2,5113,1486,4583,5127,492,739,17543
330,1,2,9790,1786,5109,3570,182,1043,21483
331,2,2,11223,14881,26839,1234,9606,1102,64889
332,1,2,22321,3216,1447,2208,178,2602,31975
333,2,2,8565,4980,67298,131,38102,1215,120295
334,2,2,16823,928,2743,11559,332,3486,35875
335,2,2,27082,6817,10790,1365,4111,2139,52308
336,1,2,13970,1511,1330,650,146,778,18388
337,1,2,9351,1347,2611,8170,442,868,22792
338,1,2,3,333,7021,15601,15,550,23526
339,1,2,2617,1188,5332,9584,573,1942,21239
340,2,3,381,4025,9670,388,7271,1371,23111
341,2,3,2320,5763,11238,767,5162,2158,27413
342,1,3,255,5758,5923,349,4595,1328,18212
343,2,3,1689,6964,26316,1456,15469,37,51936
344,1,3,3043,1172,1763,2234,217,379,8812
345,1,3,1198,2602,8335,402,3843,303,16687
346,2,3,2771,6939,15541,2693,6600,1115,35664
347,2,3,27380,7184,12311,2809,4621,1022,55332
348,1,3,3428,2380,2028,1341,1184,665,11030
349,2,3,5981,14641,20521,2005,12218,445,55816
350,1,3,3521,1099,1997,1796,173,995,9585
351,2,3,1210,10044,22294,1741,12638,3137,51069
352,1,3,608,1106,1533,830,90,195,4366
353,2,3,117,6264,21203,228,8682,1111,37610
354,1,3,14039,7393,2548,6386,1333,2341,34044
355,1,3,190,727,2012,245,184,127,3489
356,1,3,22686,134,218,3157,9,548,26756
357,2,3,37,1275,22272,137,6747,110,30583
358,1,3,759,18664,1660,6114,536,4100,31837
359,1,3,796,5878,2109,340,232,776,10135
360,1,3,19746,2872,2006,2601,468,503,28200
361,1,3,4734,607,864,1206,159,405,7979
362,1,3,2121,1601,2453,560,179,712,7630
363,1,3,4627,997,4438,191,1335,314,11906
364,1,3,2615,873,1524,1103,514,468,7101
365,2,3,4692,6128,8025,1619,4515,3105,28089
366,1,3,9561,2217,1664,1173,222,447,15288
367,1,3,3477,894,534,1457,252,342,6960
368,1,3,22335,1196,2406,2046,101,558,28646
369,1,3,6211,337,683,1089,41,296,8661
370,2,3,39679,3944,4955,1364,523,2235,52705
371,1,3,20105,1887,1939,8164,716,790,33605
372,1,3,3884,3801,1641,876,397,4829,15432
373,2,3,15076,6257,7398,1504,1916,3113,35269
374,1,3,6338,2256,1668,1492,311,686,12755
375,1,3,5841,1450,1162,597,476,70,9600
376,2,3,3136,8630,13586,5641,4666,1426,37090
377,1,3,38793,3154,2648,1034,96,1242,46971
378,1,3,3225,3294,1902,282,68,1114,9889
379,2,3,4048,5164,10391,130,813,179,20730
380,1,3,28257,944,2146,3881,600,270,36102
381,1,3,17770,4591,1617,9927,246,532,34687
382,1,3,34454,7435,8469,2540,1711,2893,57506
383,1,3,1821,1364,3450,4006,397,361,11403
384,1,3,10683,21858,15400,3635,282,5120,56982
385,1,3,11635,922,1614,2583,192,1068,18018
386,1,3,1206,3620,2857,1945,353,967,10952
387,1,3,20918,1916,1573,1960,231,961,27563
388,1,3,9785,848,1172,1677,200,406,14092
389,1,3,9385,1530,1422,3019,227,684,16271
390,1,3,3352,1181,1328,5502,311,1000,12678
391,1,3,2647,2761,2313,907,95,1827,10554
392,1,3,518,4180,3600,659,122,654,9737
393,1,3,23632,6730,3842,8620,385,819,44032
394,1,3,12377,865,3204,1398,149,452,18449
395,1,3,9602,1316,1263,2921,841,290,16237
396,2,3,4515,11991,9345,2644,3378,2213,34091
397,1,3,11535,1666,1428,6838,64,743,22278
398,1,3,11442,1032,582,5390,74,247,18771
399,1,3,9612,577,935,1601,469,375,13573
400,1,3,4446,906,1238,3576,153,1014,11337
401,1,3,27167,2801,2128,13223,92,1902,47317
402,1,3,26539,4753,5091,220,10,340,36957
403,1,3,25606,11006,4604,127,632,288,42267
404,1,3,18073,4613,3444,4324,914,715,32087
405,1,3,6884,1046,1167,2069,593,378,12141
406,1,3,25066,5010,5026,9806,1092,960,46964
407,2,3,7362,12844,18683,2854,7883,553,50184
408,2,3,8257,3880,6407,1646,2730,344,23269
409,1,3,8708,3634,6100,2349,2123,5137,28055
410,1,3,6633,2096,4563,1389,1860,1892,18437
411,1,3,2126,3289,3281,1535,235,4365,14835
412,1,3,97,3605,12400,98,2970,62,19236
413,1,3,4983,4859,6633,17866,912,2435,37692
414,1,3,5969,1990,3417,5679,1135,290,18484
415,2,3,7842,6046,8552,1691,3540,1874,29550
416,2,3,4389,10940,10908,848,6728,993,34811
417,1,3,5065,5499,11055,364,3485,1063,26535
418,2,3,660,8494,18622,133,6740,776,35430
419,1,3,8861,3783,2223,633,1580,1521,18605
420,1,3,4456,5266,13227,25,6818,1393,31189
421,2,3,17063,4847,9053,1031,3415,1784,37198
422,1,3,26400,1377,4172,830,948,1218,34949
423,2,3,17565,3686,4657,1059,1803,668,29443
424,2,3,16980,2884,12232,874,3213,249,36437
425,1,3,11243,2408,2593,15348,108,1886,33590
426,1,3,13134,9347,14316,3141,5079,1894,46915
427,1,3,31012,16687,5429,15082,439,1163,69816
428,1,3,3047,5970,4910,2198,850,317,17296
429,1,3,8607,1750,3580,47,84,2501,16573
430,1,3,3097,4230,16483,575,241,2080,26710
431,1,3,8533,5506,5160,13486,1377,1498,35564
432,1,3,21117,1162,4754,269,1328,395,29029
433,1,3,1982,3218,1493,1541,356,1449,10043
434,1,3,16731,3922,7994,688,2371,838,32548
435,1,3,29703,12051,16027,13135,182,2204,73306
436,1,3,39228,1431,764,4510,93,2346,48376
437,2,3,14531,15488,30243,437,14841,1867,77412
438,1,3,10290,1981,2232,1038,168,2125,17838
439,1,3,2787,1698,2510,65,477,52,7593
